"","Method","Taxa","Factors","Df","Fvalue","P.unadj","Significance"
"527","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae|g__Pleurocapsa_PCC-7319","site",1,26.9403633024961,3.82846916010567e-05,"***"
"528","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae|g__Pleurocapsa_PCC-7319","Residuals",21,NA,NA,NA
"529","anova formula for season+site","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae|g__Pir4_lineage","season",1,23.1665330434629,9.32834649956485e-05,"***"
"530","anova formula for season+site","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae|g__Pir4_lineage","site",1,9.2072447242705,0.00630615143425157,"**"
"531","anova formula for season+site","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae|g__Pir4_lineage","Residuals",21,NA,NA,NA
"532","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Vibrionaceae|g__Vibrio","season",1,1.14515130870187,0.296712541797941,"ns"
"533","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Vibrionaceae|g__Vibrio","site",1,0.182682563407266,0.673428647626549,"ns"
"534","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Vibrionaceae|g__Vibrio","Residuals",21,NA,NA,NA
"535","anova formula for season+site","k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Sulfurovaceae|g__Sulfurovum","season",1,12.2022778905785,0.00216693691788094,"**"
"536","anova formula for season+site","k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Sulfurovaceae|g__Sulfurovum","site",1,9.44483704721843,0.00576743515287075,"**"
"537","anova formula for season+site","k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales|f__Sulfurovaceae|g__Sulfurovum","Residuals",21,NA,NA,NA
"538","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Robiginitalea","season",1,65.0055625312144,7.2662007526724e-08,"***"
"539","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Robiginitalea","site",1,10.8016293190363,0.00351829289758779,"**"
"540","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Robiginitalea","Residuals",21,NA,NA,NA
"541","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Wenxinia","season",1,23.9351483587263,7.73142953304226e-05,"***"
"542","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Wenxinia","site",1,85.8041461108816,7.27469378622316e-09,"***"
"543","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Wenxinia","Residuals",21,NA,NA,NA
"544","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae|g__Myxosarcina_GI1","season",1,4.44573235324477,0.0471724286400947,"*"
"545","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae|g__Myxosarcina_GI1","site",1,7.37430009382924,0.0129545581648935,"*"
"546","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae|g__Myxosarcina_GI1","Residuals",21,NA,NA,NA
"547","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Maribius","season",1,17.7452821035913,0.000390890277176124,"***"
"548","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Maribius","site",1,0.0242975117584266,0.877618988713754,"ns"
"549","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Maribius","Residuals",21,NA,NA,NA
"550","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Parvularculaceae|g__Parvularcula","season",1,29.0751702126339,2.38892168325927e-05,"***"
"551","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Parvularculaceae|g__Parvularcula","site",1,6.28600799508729,0.020457778895073,"*"
"552","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Parvularculaceae|g__Parvularcula","Residuals",21,NA,NA,NA
"553","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Sufflavibacter","season",1,0.0181248120271285,0.894187665394299,"ns"
"554","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Sufflavibacter","site",1,59.260729774189,1.51732391872496e-07,"***"
"555","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Sufflavibacter","Residuals",21,NA,NA,NA
"556","anova formula for season+site","k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Trueperaceae|g__Truepera","season",1,0.389834424838594,0.53911113900777,"ns"
"557","anova formula for season+site","k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Trueperaceae|g__Truepera","site",1,0.253407690961296,0.619925302708986,"ns"
"558","anova formula for season+site","k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Trueperaceae|g__Truepera","Residuals",21,NA,NA,NA
"559","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Oricola","season",1,0.26290633440675,0.613481917184055,"ns"
"560","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Oricola","site",1,5.34733698188894,0.030984184280858,"*"
"561","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Oricola","Residuals",21,NA,NA,NA
"562","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Mycobacteriales|f__Mycobacteriaceae|g__Mycobacterium","season",1,1.2054834122316,0.284658354125018,"ns"
"563","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Mycobacteriales|f__Mycobacteriaceae|g__Mycobacterium","site",1,0.227978208520161,0.637958996761156,"ns"
"564","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Mycobacteriales|f__Mycobacteriaceae|g__Mycobacterium","Residuals",21,NA,NA,NA
"565","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Pseudoalteromonadaceae|g__Pseudoalteromonas","season",1,1.42516673856479,0.245866714476515,"ns"
"566","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Pseudoalteromonadaceae|g__Pseudoalteromonas","site",1,14.3969914693359,0.00106119887297633,"**"
"567","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Pseudoalteromonadaceae|g__Pseudoalteromonas","Residuals",21,NA,NA,NA
"568","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinomonadaceae|g__Marinomonas","season",1,1.66499770972018,0.210957451889138,"ns"
"569","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinomonadaceae|g__Marinomonas","site",1,1.44326106339476,0.242986824990229,"ns"
"570","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinomonadaceae|g__Marinomonas","Residuals",21,NA,NA,NA
"571","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales|f__Phormidesmiaceae|g__Acrophormium_PCC-7375","season",1,7.2744463787007,0.0134958250525203,"*"
"572","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales|f__Phormidesmiaceae|g__Acrophormium_PCC-7375","site",1,10.2040587881199,0.00435999889996081,"**"
"573","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales|f__Phormidesmiaceae|g__Acrophormium_PCC-7375","Residuals",21,NA,NA,NA
"574","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Silicimonas","season",1,14.1470184608923,0.00114813933184651,"**"
"575","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Silicimonas","site",1,0.63401536715266,0.434795853718443,"ns"
"576","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Silicimonas","Residuals",21,NA,NA,NA
"577","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae|g__Thiophaeococcus","season",1,2.35011875630826,0.140201459250378,"ns"
"578","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae|g__Thiophaeococcus","site",1,2.35011875630826,0.140201459250378,"ns"
"579","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae|g__Thiophaeococcus","Residuals",21,NA,NA,NA
"580","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Parasphingopyxis","season",1,0.227869809764936,0.638038484579616,"ns"
"581","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Parasphingopyxis","site",1,5.41908870588201,0.0299936068019618,"*"
"582","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Parasphingopyxis","Residuals",21,NA,NA,NA
"583","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Alteromonadaceae|g__Alteromonas","season",1,4.42689721810003,0.0476006001115674,"*"
"584","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Alteromonadaceae|g__Alteromonas","site",1,11.7232180993634,0.0025506555434133,"**"
"585","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Alteromonadaceae|g__Alteromonas","Residuals",21,NA,NA,NA
"586","anova formula for season+site","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Rubritaleaceae|g__Haloferula","season",1,21.6074015528634,0.000138027265751105,"***"
"587","anova formula for season+site","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Rubritaleaceae|g__Haloferula","site",1,6.04664903259405,0.0226971391914783,"*"
"588","anova formula for season+site","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Rubritaleaceae|g__Haloferula","Residuals",21,NA,NA,NA
"589","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Pseudahrensia","season",1,4.53876841351017,0.0451206232328472,"*"
"590","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Pseudahrensia","site",1,32.6880241361754,1.12604209443887e-05,"***"
"591","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Pseudahrensia","Residuals",21,NA,NA,NA
"592","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Hasllibacter","season",1,25.4785180384286,5.35668276330505e-05,"***"
"593","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Hasllibacter","site",1,6.22984792975201,0.0209600753208869,"*"
"594","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Hasllibacter","Residuals",21,NA,NA,NA
"595","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae|g__Thiohalocapsa","season",1,5.35306981531055,0.0309036993186376,"*"
"596","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae|g__Thiohalocapsa","site",1,15.930680506492,0.000663319882908636,"***"
"597","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae|g__Thiohalocapsa","Residuals",21,NA,NA,NA
"598","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Alteromonadaceae|g__Aestuariibacter","season",1,5.60288237631771,0.0276147882387665,"*"
"599","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Alteromonadaceae|g__Aestuariibacter","site",1,7.10752208182013,0.0144578476286599,"*"
"600","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Alteromonadaceae|g__Aestuariibacter","Residuals",21,NA,NA,NA
"601","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Novosphingobium","season",1,16.6458468944573,0.000536729057722527,"***"
"602","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Novosphingobium","site",1,71.0078636999495,3.54512881136262e-08,"***"
"603","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Novosphingobium","Residuals",21,NA,NA,NA
"604","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Marinoscillum","season",1,0.0115390815676855,0.9154753640528,"ns"
"605","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Marinoscillum","site",1,0.00282273269566637,0.958130987316176,"ns"
"606","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Marinoscillum","Residuals",21,NA,NA,NA
"607","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavimarina","season",1,0.0311262810824526,0.861649305879911,"ns"
"608","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavimarina","site",1,4.99569961503819,0.0364041653127677,"*"
"609","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavimarina","Residuals",21,NA,NA,NA
"610","anova formula for season+site","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Rubinisphaeraceae|g__Planctomicrobium","season",1,8.69976622081614,0.00765378315887096,"**"
"611","anova formula for season+site","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Rubinisphaeraceae|g__Planctomicrobium","site",1,1.86267738240679,0.186762140871619,"ns"
"612","anova formula for season+site","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Rubinisphaeraceae|g__Planctomicrobium","Residuals",21,NA,NA,NA
"613","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhodomicrobiaceae|g__Rhodomicrobium","season",1,1.58847173100661,0.221369901412495,"ns"
"614","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhodomicrobiaceae|g__Rhodomicrobium","site",1,1.39097879315872,0.251429417881693,"ns"
"615","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhodomicrobiaceae|g__Rhodomicrobium","Residuals",21,NA,NA,NA
"616","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudohongiellaceae|g__Pseudohongiella","season",1,8.3514119067774,0.0087631620298368,"**"
"617","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudohongiellaceae|g__Pseudohongiella","site",1,2.66711507998613,0.117346312122336,"ns"
"618","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudohongiellaceae|g__Pseudohongiella","Residuals",21,NA,NA,NA
"619","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Muricauda","season",1,8.98814331261104,0.00685271099215048,"**"
"620","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Muricauda","site",1,10.3028411533893,0.00420669540094933,"**"
"621","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Muricauda","Residuals",21,NA,NA,NA
"622","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae|g__Sva0081_sediment_group","season",1,29.8081466463248,2.04165369140224e-05,"***"
"623","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae|g__Sva0081_sediment_group","site",1,1.6130763057827,0.217952800053519,"ns"
"624","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae|g__Sva0081_sediment_group","Residuals",21,NA,NA,NA
"625","anova formula for season+site","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__Rubricoccus","season",1,40.188677440883,2.75930623972862e-06,"***"
"626","anova formula for season+site","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__Rubricoccus","site",1,3.2909915153448,0.0839758664475634,"ns"
"627","anova formula for season+site","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__Rubricoccus","Residuals",21,NA,NA,NA
"628","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__Euzebya","season",1,11.4747946155603,0.00277872428868864,"**"
"629","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__Euzebya","site",1,0.468482215085429,0.501170977742987,"ns"
"630","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__Euzebya","Residuals",21,NA,NA,NA
"631","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfobulbaceae|g__Candidatus_Electrothrix","season",1,5.65714310575464,0.0269536154171235,"*"
"632","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfobulbaceae|g__Candidatus_Electrothrix","site",1,3.57611802651307,0.072492259326852,"ns"
"633","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfobulbaceae|g__Candidatus_Electrothrix","Residuals",21,NA,NA,NA
"634","anova formula for season+site","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae|g__Rhodopirellula","season",1,44.5340433641247,1.32259319355191e-06,"***"
"635","anova formula for season+site","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae|g__Rhodopirellula","site",1,13.2705203157315,0.00152093764950371,"**"
"636","anova formula for season+site","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae|g__Rhodopirellula","Residuals",21,NA,NA,NA
"637","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Halieaceae|g__Pseudohaliea","season",1,11.7815207650328,0.0025001755284155,"**"
"638","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Halieaceae|g__Pseudohaliea","site",1,12.3183645750087,0.00208385019570561,"**"
"639","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Halieaceae|g__Pseudohaliea","Residuals",21,NA,NA,NA
"640","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Jannaschia","season",1,0.479580015833233,0.496199921129147,"ns"
"641","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Jannaschia","site",1,9.41233300707221,0.00583802991126085,"**"
"642","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Jannaschia","Residuals",21,NA,NA,NA
"643","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Kiloniellales|f__Kiloniellaceae|g__Pelagibius","season",1,1.16804375363081,0.29205953902481,"ns"
"644","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Kiloniellales|f__Kiloniellaceae|g__Pelagibius","site",1,13.8685737534972,0.00125432932763647,"**"
"645","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Kiloniellales|f__Kiloniellaceae|g__Pelagibius","Residuals",21,NA,NA,NA
"646","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Hyphomonadaceae|g__Euryhalocaulis","season",1,0.874993041258969,0.360209617502467,"ns"
"647","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Hyphomonadaceae|g__Euryhalocaulis","site",1,0.708734719622931,0.40934944084632,"ns"
"648","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Hyphomonadaceae|g__Euryhalocaulis","Residuals",21,NA,NA,NA
"649","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales|f__Sporichthyaceae|g__Sporichthya","season",1,22.8951689552736,9.97598201387226e-05,"***"
"650","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales|f__Sporichthyaceae|g__Sporichthya","site",1,1.41704509170258,0.24717366395145,"ns"
"651","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales|f__Sporichthyaceae|g__Sporichthya","Residuals",21,NA,NA,NA
"652","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Alcanivoracaceae|g__Ketobacter","season",1,0.365656213318689,0.55185998618247,"ns"
"653","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Alcanivoracaceae|g__Ketobacter","site",1,4.69698971629167,0.04185946365164,"*"
"654","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Alcanivoracaceae|g__Ketobacter","Residuals",21,NA,NA,NA
"655","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Iamiaceae|g__Iamia","season",1,23.0227472080354,9.66555671888036e-05,"***"
"656","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Iamiaceae|g__Iamia","site",1,1.92644389603078,0.179699134146893,"ns"
"657","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Iamiaceae|g__Iamia","Residuals",21,NA,NA,NA
"658","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Marivita","season",1,15.9020932565413,0.000669021458632293,"***"
"659","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Marivita","site",1,0.801429196595481,0.380813293950628,"ns"
"660","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Marivita","Residuals",21,NA,NA,NA
"661","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Allosediminivita","season",1,6.96385570294494,0.0153472977000747,"*"
"662","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Allosediminivita","site",1,10.594599093098,0.00378763154451765,"**"
"663","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Allosediminivita","Residuals",21,NA,NA,NA
"664","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Kiloniellales|f__Kiloniellaceae|g__Limibacillus","season",1,2.47251055108413,0.130798843159139,"ns"
"665","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Kiloniellales|f__Kiloniellaceae|g__Limibacillus","site",1,4.23157329282559,0.052311458029842,"ns"
"666","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Kiloniellales|f__Kiloniellaceae|g__Limibacillus","Residuals",21,NA,NA,NA
"667","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae|g__Desulfosarcina","season",1,7.07595468019499,0.0146482428662083,"*"
"668","anova formula for season+site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae|g__Desulfosarcina","site",1,9.46351300592786,0.00572730127458475,"**"
